flakkebjerg_id,vcf_name,accession_number,accession_name,data_code,flag,note,region,country,country_whole,yield,maturity_group,MG,seed_coat_colour
564,564A,PI639567,VIR 6929,CCA,NA,,EEU,Ru,Russian Federation,1.66,0 – MATURITY GROUP 0,0,Rbr/Br
565,565A,PI639631,ARMAVIRSKAYA 4,CCA,NA,,EEU,Ru,Russian Federation,0.96,0 – MATURITY GROUP 0,0,Y
566,566A,PI639528A,VIR 233,CCA,NA,,EEU,Ru,Russian Federation,1.3,II – MATURITY GROUP II,II,Br
567,567A,PI639550B,KSHI 713,CCA,NA,,EEU,Mo,Moldova,1.14,I – MATURITY GROUP I,I,Rbr/Br
568,568A,PI639550C,KSHI 713,CCA,NA,,EEU,Mo,Moldova,1.14,0 – MATURITY GROUP 0,0,Rbr/Br
569,569A,PI639556A,VIR 5604,CCA,NA,,EEU,Ru,Russian Federation,2.3; 0.84,I – MATURITY GROUP I,I,Y
570,570A,PI639559A,VYTKA 2,CCA,NA,,EEU,Uk,Ukraine,1.14,0 – MATURITY GROUP 0,0,Bl
571,571A,PI639632A,RENTA,CCA,NA,,EEU,Ru,Russian Federation,1.45,I – MATURITY GROUP I,I,Y
572,572A,PI639632B,RENTA,CCA,NA,,EEU,Ru,Russian Federation,1.03,I – MATURITY GROUP I,I,Y
573,573A,PI639633B,GARMONIYA,CCA,NA,,EEU,Ru,Russian Federation,1.2,00 – MATURITY GROUP 00,0,Y
